height_score,player_x,player_y,nearest_plat_x,nearest_plat_y
115,335,-5304,325,-5128
115,335,-5294,325,-5128
115,335,-5283,325,-5128
115,335,-5271,325,-5128
115,335,-5258,325,-5128
115,335,-5244,325,-5128
115,335,-5229,325,-5128
115,335,-5213,325,-5128
115,335,-5196,325,-5128
115,335,-5178,325,-5128
115,335,-5163,325,-5128
115,335,-5182,325,-5128
115,335,-5200,325,-5128
115,335,-5217,325,-5128
115,335,-5233,325,-5128
115,335,-5248,325,-5128
115,335,-5262,325,-5128
115,335,-5275,325,-5128
115,335,-5287,325,-5128
115,335,-5298,325,-5128
115,335,-5308,325,-5128
115,335,-5317,325,-5128
115,335,-5325,325,-5128
115,335,-5332,408,-5518
115,335,-5338,408,-5518
115,335,-5343,408,-5518
115,335,-5347,408,-5518
115,335,-5350,408,-5518
115,335,-5352,408,-5518
115,335,-5353,408,-5518
115,335,-5353,408,-5518
115,335,-5352,408,-5518
115,335,-5350,408,-5518
115,335,-5347,408,-5518
115,335,-5343,408,-5518
115,335,-5339,408,-5518
115,335,-5334,408,-5518
115,335,-5328,325,-5128
115,335,-5321,325,-5128
115,335,-5313,325,-5128
115,335,-5304,325,-5128
115,335,-5294,325,-5128
115,335,-5283,325,-5128
115,335,-5271,325,-5128
115,335,-5258,325,-5128
115,335,-5244,325,-5128
115,335,-5229,325,-5128
115,335,-5213,325,-5128
115,335,-5196,325,-5128
115,335,-5178,325,-5128
115,333,-5163,325,-5128
115,331,-5182,325,-5128
115,329,-5200,325,-5128
115,328,-5217,325,-5128
115,328,-5233,325,-5128
115,328,-5248,325,-5128
115,328,-5262,325,-5128
115,328,-5275,325,-5128
115,328,-5287,325,-5128
115,328,-5298,325,-5128
115,328,-5308,325,-5128
115,328,-5317,325,-5128
115,328,-5325,325,-5128
115,328,-5332,408,-5518
115,328,-5338,408,-5518
115,328,-5343,408,-5518
115,328,-5347,408,-5518
115,328,-5350,408,-5518
115,328,-5352,408,-5518
115,328,-5353,408,-5518
115,328,-5353,408,-5518
115,328,-5352,408,-5518
115,328,-5350,408,-5518
115,328,-5347,408,-5518
115,328,-5343,408,-5518
115,328,-5339,408,-5518
115,328,-5334,408,-5518
115,328,-5328,325,-5128
115,328,-5321,325,-5128
115,328,-5313,325,-5128
115,328,-5304,325,-5128
115,328,-5294,325,-5128
115,328,-5283,325,-5128
115,328,-5271,325,-5128
115,328,-5258,325,-5128
115,328,-5244,325,-5128
115,328,-5229,325,-5128
115,328,-5213,325,-5128
115,328,-5196,325,-5128
115,328,-5178,325,-5128
115,326,-5163,325,-5128
115,324,-5182,325,-5128
115,321,-5200,325,-5128
115,318,-5217,325,-5128
115,314,-5233,325,-5128
115,310,-5248,325,-5128
115,305,-5262,325,-5128
115,300,-5275,325,-5128
115,294,-5287,325,-5128
115,288,-5298,325,-5128
115,281,-5308,325,-5128
115,274,-5317,92,-5327
115,266,-5325,92,-5327
115,258,-5332,92,-5327
115,249,-5338,92,-5327
115,240,-5343,92,-5327
115,230,-5347,92,-5327
115,220,-5350,92,-5327
115,209,-5352,92,-5327
115,198,-5353,92,-5327
115,186,-5353,92,-5327
115,174,-5362,92,-5327
